station_id,name,lat,lon,num_bikes_available,capacity,occupation_rate,availability_score,bikes_per_dock,cluster,is_low_availability,distrito_nome,populacao_distrito,renda_media_distrito,densidade_distrito,lr_predicted,lr_residuals
335,335 - R. Ribeiro do Vale,-23.6106846259976,-46.6859131865383,9,10,0.9,0.09999999999999998,0.9,-1,False,Campo Belo,67106,8800,6710.6,1.1514150559690894,-0.2514150559690894
336,336 - Flórida 1020,-23.6110922047536,-46.6889117358413,5,11,0.45454545454545453,0.5454545454545454,0.45454545454545453,-1,False,Campo Belo,67106,8800,6710.6,1.1514150559690894,-0.6968696014236349
339,339 - R. Min. Luiz Gallotti,-23.6188143994929,-46.6839186756531,18,27,0.6666666666666666,0.33333333333333337,0.6666666666666666,-1,False,Campo Belo,67106,8800,6710.6,1.1514150559690894,-0.4847483893024228
351,499 - Cinemateca,-23.59211,-46.64664,11,19,0.5789473684210527,0.42105263157894735,0.5789473684210527,-1,False,Moema,83368,9800,8336.8,-0.008142117246223934,0.5870894856672766
352,260 - P3,-23.5682352949967,-46.7407149326958,1,15,0.06666666666666667,0.9333333333333333,0.06666666666666667,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.3505827017630925
353,258 - Odontologia,-23.5670983269173,-46.7377390474673,0,11,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
354,354 - Praça Oswaldo Cruz,-23.5716043779296,-46.6442662143517,0,11,0.0,1.0,0.0,-1,True,Bela Vista,63190,6200,6319.0,3.1628822441928426,-3.1628822441928426
356,257 - Hospital Universitário,-23.563675157567,-46.7415201080188,0,15,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
357,251 - FAU,-23.559303418872275,-46.73011890367904,3,23,0.13043478260869565,0.8695652173913043,0.13043478260869565,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.2868145858210636
370,259 - Vila Indiana,-23.5685409711413,-46.7318266369691,0,23,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
373,263 - Praça Beethoven,-23.5470791934803,-46.7162932669707,7,15,0.4666666666666667,0.5333333333333333,0.4666666666666667,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.9505827017630925
374,264 - Parque Villa Lobos Portão 2,-23.54346224854284,-46.725929774890005,10,19,0.5263157894736842,0.4736842105263158,0.5263157894736842,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.890933578956075
387,246 - Portão CPTM,-23.5601005487719,-46.7131577012467,10,23,0.43478260869565216,0.5652173913043479,0.43478260869565216,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-0.982466759734107
391,250 - Bandejão Química,-23.564559,-46.723564,1,27,0.037037037037037035,0.962962962962963,0.037037037037037035,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.3802123313927221
394,249 - Bandejão Central,-23.55981663388075,-46.72268965684082,14,39,0.358974358974359,0.641025641025641,0.358974358974359,-1,False,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.0582750094554
399,255 - Bandejão Física,-23.5606860577466,-46.7356926767203,0,19,0.0,1.0,0.0,-1,True,Pinheiros,65364,8500,6536.4,1.4172493684297591,-1.4172493684297591
405,173 - Largo de São Bento,-23.54402567,-46.63454504,6,15,0.4,0.6,0.4,-1,False,Centro,57123,4500,5712.3,4.569780326897259,-4.169780326897259
406,171 - Praça da Liberdade,-23.5561474,-46.63624180000001,5,19,0.2631578947368421,0.736842105263158,0.2631578947368421,-1,False,Liberdade,69092,5800,6909.2,3.3022247738891917,-3.0390668791523496
